idx,t_rel_s,latency_s,status,ttft_s
402,72.6051,0.1601,ok,0.0111
403,72.6733,0.1541,ok,0.0099
404,72.7947,0.1569,ok,0.0092
405,72.8754,0.1674,ok,0.0123
406,72.8888,0.1657,ok,0.0106
407,73.0275,0.1940,ok,0.0116
408,73.0404,0.1868,ok,0.0107
409,73.0681,0.1815,ok,0.0106
410,73.0805,0.1746,ok,0.0094
411,73.0946,0.1762,ok,0.0107
412,73.1082,0.1748,ok,0.0102
413,73.1484,0.1756,ok,0.0116
414,73.2562,0.1978,ok,0.0101
415,73.2692,0.1923,ok,0.0103
416,73.3102,0.1989,ok,0.0099
417,73.3364,0.2010,ok,0.0121
418,73.3630,0.2080,ok,0.0114
419,73.3775,0.2010,ok,0.0104
420,73.3909,0.2009,ok,0.0102
421,73.4043,0.1950,ok,0.0103
422,73.4588,0.1949,ok,0.0107
423,73.4858,0.1885,ok,0.0101
424,73.5111,0.1818,ok,0.0094
425,73.5387,0.1759,ok,0.0113
426,73.5511,0.1689,ok,0.0101
427,73.5786,0.1627,ok,0.0112
428,73.6340,0.1483,ok,0.0103
429,73.8216,0.1862,ok,0.0243
430,73.8348,0.1748,ok,0.0249
431,73.8482,0.1615,ok,0.0129
432,73.8756,0.1573,ok,0.0098
433,74.0130,0.1371,ok,0.0110
434,74.1487,0.1555,ok,0.0100
435,74.2030,0.1662,ok,0.0100
436,74.2157,0.1606,ok,0.0102
437,74.3233,0.1519,ok,0.0153
438,74.4581,0.1548,ok,0.0117
439,74.4984,0.1570,ok,0.0114
440,74.6195,0.1634,ok,0.0111
441,74.7007,0.1969,ok,0.0113
442,74.7273,0.2026,ok,0.0101
443,74.7673,0.1983,ok,0.0102
444,74.8084,0.1946,ok,0.0163
445,74.8221,0.1865,ok,0.0147
446,74.8491,0.1758,ok,0.0105
447,74.8758,0.1691,ok,0.0105
448,74.9026,0.1793,ok,0.0102
449,74.9159,0.1743,ok,0.0102
450,75.0430,0.1937,ok,0.0115
451,75.0581,0.1860,ok,0.0094
452,75.0723,0.1880,ok,0.0108
453,75.1011,0.1834,ok,0.0114
454,75.1154,0.1764,ok,0.0101
455,75.1443,0.1906,ok,0.0112
456,75.1594,0.1844,ok,0.0114
457,75.2454,0.1889,ok,0.0129
458,75.3039,0.1872,ok,0.0256
459,75.3474,0.1672,ok,0.0120
460,75.3902,0.1739,ok,0.0117
461,75.4481,0.1925,ok,0.0105
462,75.5193,0.2141,ok,0.0103
463,75.5489,0.2102,ok,0.0107
464,75.5626,0.2041,ok,0.0113
465,75.5768,0.1974,ok,0.0104
466,75.6051,0.1915,ok,0.0104
467,75.6206,0.1975,ok,0.0106
468,75.6492,0.1986,ok,0.0106
469,75.6785,0.1997,ok,0.0115
470,75.6921,0.1918,ok,0.0095
471,75.7216,0.1847,ok,0.0097
472,75.7931,0.1763,ok,0.0121
473,75.8084,0.1684,ok,0.0108
474,75.8223,0.1615,ok,0.0104
475,75.8515,0.1531,ok,0.0117
476,76.0299,0.1548,ok,0.0109
477,76.1012,0.1583,ok,0.0109
478,76.1309,0.1490,ok,0.0104
479,76.3192,0.1563,ok,0.0130
480,76.3910,0.1575,ok,0.0105
481,76.4194,0.1561,ok,0.0112
482,76.5624,0.1723,ok,0.0113
483,76.5767,0.1652,ok,0.0110
484,76.6054,0.1596,ok,0.0114
485,76.7066,0.1633,ok,0.0100
486,76.8229,0.1843,ok,0.0123
487,76.8364,0.1762,ok,0.0106
488,76.8517,0.1700,ok,0.0109
489,76.8655,0.1651,ok,0.0126
490,76.8944,0.1552,ok,0.0118
491,77.0778,0.1491,ok,0.0106
492,77.1405,0.1543,ok,0.0099
493,77.2643,0.1526,ok,0.0128
494,77.3424,0.1525,ok,0.0113
495,77.4512,0.1583,ok,0.0117
496,77.4978,0.1577,ok,0.0103
497,77.6070,0.1398,ok,0.0112
498,77.7782,0.1468,ok,0.0139
499,77.8864,0.1376,ok,0.0101
500,78.0623,0.1329,ok,0.0110
501,78.2184,0.1742,ok,0.0113
502,78.2649,0.1811,ok,0.0125
503,78.2951,0.1791,ok,0.0103
504,78.3262,0.1733,ok,0.0103
505,78.3431,0.1672,ok,0.0104
506,78.4207,0.1782,ok,0.0103
507,78.4515,0.1728,ok,0.0115
508,78.5132,0.1713,ok,0.0100
509,78.5593,0.1666,ok,0.0113
510,78.5753,0.1596,ok,0.0106
511,78.6380,0.1458,ok,0.0104
512,78.8881,0.1344,ok,0.0119
513,79.1529,0.1625,ok,0.0115
514,79.1854,0.1672,ok,0.0108
515,79.2534,0.1614,ok,0.0131
516,79.3208,0.1531,ok,0.0119
517,79.4555,0.1837,ok,0.0113
518,79.4883,0.1866,ok,0.0112
519,79.5226,0.1821,ok,0.0113
520,79.5556,0.1811,ok,0.0104
521,79.5895,0.1767,ok,0.0114
522,79.6234,0.1676,ok,0.0102
523,79.6394,0.1621,ok,0.0112
524,79.7077,0.1536,ok,0.0102
525,79.8426,0.1718,ok,0.0116
526,79.8588,0.1645,ok,0.0107
527,79.8759,0.1581,ok,0.0102
528,79.8926,0.1510,ok,0.0099
529,80.1018,0.1622,ok,0.0112
530,80.1861,0.1771,ok,0.0146
531,80.2025,0.1678,ok,0.0116
532,80.2196,0.1678,ok,0.0119
533,80.3376,0.1818,ok,0.0129
534,80.3716,0.1799,ok,0.0103
535,80.3886,0.1739,ok,0.0106
536,80.4046,0.1669,ok,0.0101
537,80.4725,0.1931,ok,0.0115
538,80.5224,0.1985,ok,0.0103
539,80.5727,0.1993,ok,0.0111
540,80.5891,0.1920,ok,0.0094
541,80.6068,0.1874,ok,0.0106
542,80.6398,0.1883,ok,0.0114
543,80.6564,0.1878,ok,0.0103
544,80.6735,0.1816,ok,0.0100
545,80.6903,0.1756,ok,0.0100
546,80.7576,0.1678,ok,0.0104
547,80.8084,0.1596,ok,0.0103
548,80.8255,0.1521,ok,0.0109
549,81.0189,0.1615,ok,0.0119
550,81.0551,0.1652,ok,0.0116
551,81.1292,0.1586,ok,0.0099
552,81.1842,0.1472,ok,0.0111
553,81.3507,0.1408,ok,0.0185
554,81.6621,0.1357,ok,0.0124
555,81.8462,0.1373,ok,0.0144
556,82.0009,0.1444,ok,0.0117
557,82.1103,0.1390,ok,0.0119
558,82.2766,0.1414,ok,0.0120
559,82.4045,0.1596,ok,0.0118
560,82.4591,0.1646,ok,0.0114
561,82.5517,0.1574,ok,0.0106
562,82.6061,0.1455,ok,0.0103
563,82.7539,0.1749,ok,0.0103
564,82.7714,0.1719,ok,0.0109
565,82.8458,0.1661,ok,0.0109
566,82.8631,0.1593,ok,0.0102
567,82.9005,0.1578,ok,0.0115
568,83.0400,0.1580,ok,0.0112
569,83.0612,0.1564,ok,0.0103
570,83.2025,0.1466,ok,0.0099
571,83.2841,0.1521,ok,0.0098
572,83.3833,0.1548,ok,0.0121
573,83.4642,0.1432,ok,0.0117
574,83.6277,0.1334,ok,0.0098
575,84.0616,0.1363,ok,0.0140
576,84.2022,0.1625,ok,0.0110
577,84.2220,0.1588,ok,0.0112
578,84.2430,0.1603,ok,0.0103
579,84.3837,0.1907,ok,0.0117
580,84.4246,0.1909,ok,0.0142
581,84.4443,0.1824,ok,0.0120
582,84.4645,0.1815,ok,0.0102
583,84.4856,0.1766,ok,0.0115
